[Epoch:   0/100] Training Loss: 0.174, Testing Loss: 0.174, Training Acc: 0.510, Testing Acc: 0.519
[Epoch:   1/100] Training Loss: 0.173, Testing Loss: 0.174, Training Acc: 0.527, Testing Acc: 0.533
[Epoch:   2/100] Training Loss: 0.172, Testing Loss: 0.174, Training Acc: 0.531, Testing Acc: 0.524
[Epoch:   3/100] Training Loss: 0.172, Testing Loss: 0.173, Training Acc: 0.537, Testing Acc: 0.534
[Epoch:   4/100] Training Loss: 0.171, Testing Loss: 0.173, Training Acc: 0.547, Testing Acc: 0.539
[Epoch:   5/100] Training Loss: 0.170, Testing Loss: 0.173, Training Acc: 0.564, Testing Acc: 0.545
[Epoch:   6/100] Training Loss: 0.169, Testing Loss: 0.173, Training Acc: 0.567, Testing Acc: 0.542
[Epoch:   7/100] Training Loss: 0.167, Testing Loss: 0.174, Training Acc: 0.579, Testing Acc: 0.544
[Epoch:   8/100] Training Loss: 0.166, Testing Loss: 0.172, Training Acc: 0.590, Testing Acc: 0.559
[Epoch:   9/100] Training Loss: 0.163, Testing Loss: 0.173, Training Acc: 0.604, Testing Acc: 0.566
[Epoch:  10/100] Training Loss: 0.160, Testing Loss: 0.172, Training Acc: 0.628, Testing Acc: 0.568
[Epoch:  11/100] Training Loss: 0.155, Testing Loss: 0.168, Training Acc: 0.653, Testing Acc: 0.607
[Epoch:  12/100] Training Loss: 0.148, Testing Loss: 0.166, Training Acc: 0.685, Testing Acc: 0.606
[Epoch:  13/100] Training Loss: 0.141, Testing Loss: 0.163, Training Acc: 0.708, Testing Acc: 0.634
[Epoch:  14/100] Training Loss: 0.133, Testing Loss: 0.161, Training Acc: 0.731, Testing Acc: 0.661
[Epoch:  15/100] Training Loss: 0.125, Testing Loss: 0.161, Training Acc: 0.754, Testing Acc: 0.647
[Epoch:  16/100] Training Loss: 0.117, Testing Loss: 0.161, Training Acc: 0.778, Testing Acc: 0.667
[Epoch:  17/100] Training Loss: 0.108, Testing Loss: 0.175, Training Acc: 0.801, Testing Acc: 0.646
[Epoch:  18/100] Training Loss: 0.100, Testing Loss: 0.173, Training Acc: 0.820, Testing Acc: 0.653
[Epoch:  19/100] Training Loss: 0.091, Testing Loss: 0.169, Training Acc: 0.840, Testing Acc: 0.665
[Epoch:  20/100] Training Loss: 0.083, Testing Loss: 0.177, Training Acc: 0.858, Testing Acc: 0.666
[Epoch:  21/100] Training Loss: 0.074, Testing Loss: 0.182, Training Acc: 0.874, Testing Acc: 0.673
[Epoch:  22/100] Training Loss: 0.066, Testing Loss: 0.202, Training Acc: 0.891, Testing Acc: 0.678
[Epoch:  23/100] Training Loss: 0.057, Testing Loss: 0.220, Training Acc: 0.909, Testing Acc: 0.662
[Epoch:  24/100] Training Loss: 0.050, Testing Loss: 0.226, Training Acc: 0.925, Testing Acc: 0.676
[Epoch:  25/100] Training Loss: 0.044, Testing Loss: 0.240, Training Acc: 0.938, Testing Acc: 0.659
[Epoch:  26/100] Training Loss: 0.037, Testing Loss: 0.258, Training Acc: 0.947, Testing Acc: 0.657
[Epoch:  27/100] Training Loss: 0.030, Testing Loss: 0.273, Training Acc: 0.962, Testing Acc: 0.649
[Epoch:  28/100] Training Loss: 0.026, Testing Loss: 0.274, Training Acc: 0.971, Testing Acc: 0.656
[Epoch:  29/100] Training Loss: 0.022, Testing Loss: 0.296, Training Acc: 0.973, Testing Acc: 0.667
[Epoch:  30/100] Training Loss: 0.018, Testing Loss: 0.321, Training Acc: 0.981, Testing Acc: 0.672
[Epoch:  31/100] Training Loss: 0.015, Testing Loss: 0.358, Training Acc: 0.985, Testing Acc: 0.673
[Epoch:  32/100] Training Loss: 0.013, Testing Loss: 0.355, Training Acc: 0.988, Testing Acc: 0.654
