Num of words:  18344

Training Records

(underfitting: larger batch_size)
1.lr = 0.01, multiply by 0.1 every 10 epochs; epochs 10; embedding_dim = 100; hidden_dim = 50; sentence_len = 16; SGD; CrossEntropy; batch_size 32
[Epoch:   0/ 10] Training Loss: 0.022, Training Acc: 0.503
[Epoch:   1/ 10] Training Loss: 0.022, Training Acc: 0.511
[Epoch:   2/ 10] Training Loss: 0.022, Training Acc: 0.514
[Epoch:   3/ 10] Training Loss: 0.022, Training Acc: 0.519
[Epoch:   4/ 10] Training Loss: 0.022, Training Acc: 0.518
[Epoch:   5/ 10] Training Loss: 0.022, Training Acc: 0.526
[Epoch:   6/ 10] Training Loss: 0.022, Training Acc: 0.527
[Epoch:   7/ 10] Training Loss: 0.022, Training Acc: 0.528
[Epoch:   8/ 10] Training Loss: 0.022, Training Acc: 0.535
[Epoch:   9/ 10] Training Loss: 0.022, Training Acc: 0.535

(better but still underfitting: smaller batch_size, small lr)
2.lr = 0.01, multiply by 0.1 every 10 epochs; epochs 30; embedding_dim = 100; hidden_dim = 50; sentence_len = 16; SGD; CrossEntropy; batch_size 5
[Epoch:   0/ 30] Training Loss: 0.139, Training Acc: 0.508
[Epoch:   1/ 30] Training Loss: 0.138, Training Acc: 0.527
[Epoch:   2/ 30] Training Loss: 0.138, Training Acc: 0.532
[Epoch:   3/ 30] Training Loss: 0.137, Training Acc: 0.538
[Epoch:   4/ 30] Training Loss: 0.137, Training Acc: 0.547
[Epoch:   5/ 30] Training Loss: 0.136, Training Acc: 0.563
[Epoch:   6/ 30] Training Loss: 0.135, Training Acc: 0.567
[Epoch:   7/ 30] Training Loss: 0.134, Training Acc: 0.582
[Epoch:   8/ 30] Training Loss: 0.132, Training Acc: 0.593
[Epoch:   9/ 30] Training Loss: 0.131, Training Acc: 0.607
[Epoch:  10/ 30] Training Loss: 0.128, Training Acc: 0.639
[Epoch:  11/ 30] Training Loss: 0.127, Training Acc: 0.641
[Epoch:  12/ 30] Training Loss: 0.127, Training Acc: 0.644
[Epoch:  13/ 30] Training Loss: 0.127, Training Acc: 0.646
[Epoch:  14/ 30] Training Loss: 0.126, Training Acc: 0.649
[Epoch:  15/ 30] Training Loss: 0.126, Training Acc: 0.651
[Epoch:  16/ 30] Training Loss: 0.125, Training Acc: 0.655
[Epoch:  17/ 30] Training Loss: 0.125, Training Acc: 0.654
[Epoch:  18/ 30] Training Loss: 0.125, Training Acc: 0.660
[Epoch:  19/ 30] Training Loss: 0.124, Training Acc: 0.663
[Epoch:  20/ 30] Training Loss: 0.124, Training Acc: 0.665
[Epoch:  21/ 30] Training Loss: 0.123, Training Acc: 0.668
[Epoch:  22/ 30] Training Loss: 0.123, Training Acc: 0.668
[Epoch:  23/ 30] Training Loss: 0.123, Training Acc: 0.667
[Epoch:  24/ 30] Training Loss: 0.123, Training Acc: 0.668
[Epoch:  25/ 30] Training Loss: 0.123, Training Acc: 0.669
[Epoch:  26/ 30] Training Loss: 0.123, Training Acc: 0.668
[Epoch:  27/ 30] Training Loss: 0.123, Training Acc: 0.669
[Epoch:  28/ 30] Training Loss: 0.123, Training Acc: 0.668
[Epoch:  29/ 30] Training Loss: 0.123, Training Acc: 0.669

((better: larger lr)
3.lr = 0.01; epochs 30; embedding_dim = 100; hidden_dim = 50; sentence_len = 16; SGD; CrossEntropy; batch_size 4
[Epoch:   0/ 30] Training Loss: 0.174, Training Acc: 0.509
[Epoch:   1/ 30] Training Loss: 0.173, Training Acc: 0.524
[Epoch:   2/ 30] Training Loss: 0.172, Training Acc: 0.542
[Epoch:   3/ 30] Training Loss: 0.171, Training Acc: 0.543
[Epoch:   4/ 30] Training Loss: 0.170, Training Acc: 0.557
[Epoch:   5/ 30] Training Loss: 0.169, Training Acc: 0.564
[Epoch:   6/ 30] Training Loss: 0.168, Training Acc: 0.577
[Epoch:   7/ 30] Training Loss: 0.165, Training Acc: 0.598
[Epoch:   8/ 30] Training Loss: 0.162, Training Acc: 0.617
[Epoch:   9/ 30] Training Loss: 0.158, Training Acc: 0.640
[Epoch:  10/ 30] Training Loss: 0.153, Training Acc: 0.665
[Epoch:  11/ 30] Training Loss: 0.147, Training Acc: 0.688
[Epoch:  12/ 30] Training Loss: 0.140, Training Acc: 0.705
[Epoch:  13/ 30] Training Loss: 0.133, Training Acc: 0.734
[Epoch:  14/ 30] Training Loss: 0.126, Training Acc: 0.750
[Epoch:  15/ 30] Training Loss: 0.119, Training Acc: 0.771
[Epoch:  16/ 30] Training Loss: 0.111, Training Acc: 0.793
[Epoch:  17/ 30] Training Loss: 0.104, Training Acc: 0.812
[Epoch:  18/ 30] Training Loss: 0.095, Training Acc: 0.829
[Epoch:  19/ 30] Training Loss: 0.088, Training Acc: 0.847
[Epoch:  20/ 30] Training Loss: 0.080, Training Acc: 0.864
[Epoch:  21/ 30] Training Loss: 0.073, Training Acc: 0.881
[Epoch:  22/ 30] Training Loss: 0.065, Training Acc: 0.894
[Epoch:  23/ 30] Training Loss: 0.058, Training Acc: 0.909
[Epoch:  24/ 30] Training Loss: 0.052, Training Acc: 0.922
[Epoch:  25/ 30] Training Loss: 0.046, Training Acc: 0.932
[Epoch:  26/ 30] Training Loss: 0.038, Training Acc: 0.947
[Epoch:  27/ 30] Training Loss: 0.033, Training Acc: 0.956
[Epoch:  28/ 30] Training Loss: 0.031, Training Acc: 0.959
[Epoch:  29/ 30] Training Loss: 0.024, Training Acc: 0.971)

(Add test data)
4.lr = 0.01; epochs 30; embedding_dim = 100; hidden_dim = 50; sentence_len = 16; SGD; CrossEntropy; batch_size 4
[Epoch:   0/100] Training Loss: 0.174, Testing Loss: 0.174, Training Acc: 0.510, Testing Acc: 0.519
[Epoch:   1/100] Training Loss: 0.173, Testing Loss: 0.174, Training Acc: 0.527, Testing Acc: 0.533
[Epoch:   2/100] Training Loss: 0.172, Testing Loss: 0.174, Training Acc: 0.531, Testing Acc: 0.524
[Epoch:   3/100] Training Loss: 0.172, Testing Loss: 0.173, Training Acc: 0.537, Testing Acc: 0.534
[Epoch:   4/100] Training Loss: 0.171, Testing Loss: 0.173, Training Acc: 0.547, Testing Acc: 0.539
[Epoch:   5/100] Training Loss: 0.170, Testing Loss: 0.173, Training Acc: 0.564, Testing Acc: 0.545
[Epoch:   6/100] Training Loss: 0.169, Testing Loss: 0.173, Training Acc: 0.567, Testing Acc: 0.542
[Epoch:   7/100] Training Loss: 0.167, Testing Loss: 0.174, Training Acc: 0.579, Testing Acc: 0.544
[Epoch:   8/100] Training Loss: 0.166, Testing Loss: 0.172, Training Acc: 0.590, Testing Acc: 0.559
[Epoch:   9/100] Training Loss: 0.163, Testing Loss: 0.173, Training Acc: 0.604, Testing Acc: 0.566
[Epoch:  10/100] Training Loss: 0.160, Testing Loss: 0.172, Training Acc: 0.628, Testing Acc: 0.568
[Epoch:  11/100] Training Loss: 0.155, Testing Loss: 0.168, Training Acc: 0.653, Testing Acc: 0.607
[Epoch:  12/100] Training Loss: 0.148, Testing Loss: 0.166, Training Acc: 0.685, Testing Acc: 0.606
[Epoch:  13/100] Training Loss: 0.141, Testing Loss: 0.163, Training Acc: 0.708, Testing Acc: 0.634
[Epoch:  14/100] Training Loss: 0.133, Testing Loss: 0.161, Training Acc: 0.731, Testing Acc: 0.661
[Epoch:  15/100] Training Loss: 0.125, Testing Loss: 0.161, Training Acc: 0.754, Testing Acc: 0.647
